version,suite,round,name,sink,thread,size,pitch,aspect,paspect,width,height,depth
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,1000,1/1,100/1,10,10,100,156.033
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,100,1/100,1/1,1,100,100,338.606
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,100,1/10,1/1,10,100,10,334.577
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,100,1/1,1/1,100,100,1,348.847
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,10,1/1000,1/100,1,1000,10,2189.432
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,10,1/100,1/100,10,1000,1,2216.379
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,1,1/10000,1/10000,1,10000,1,19914.736
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1000,1000,1000/1,1000/1,1000,1,1,89.634
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1000,1000,100/1,1000/1,100,1,10,89.965
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1000,1000,10/1,1000/1,10,1,100,91.173
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1000,1000,1/1,1000/1,1,1,1000,96.794
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1000,100,10/1,10/1,100,10,1,134.58
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1000,100,1/10,10/1,1,10,100,124.042
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1000,100,1/1,10/1,10,10,10,126.67
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1000,10,1/100,1/10,1,100,10,358.358
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1000,10,1/10,1/10,10,100,1,343.521
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1000,1,1/1000,1/1000,1,1000,1,2053.133
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100,100,100/1,100/1,100,1,1,86.24
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100,100,10/1,100/1,10,1,10,88.943
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100,100,1/1,100/1,1,1,100,93.234
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100,10,1/10,1/1,1,10,10,112.302
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100,10,1/1,1/1,10,10,1,122.443
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100,1,1/100,1/100,1,100,1,357.965
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10,10,10/1,10/1,10,1,1,81.342
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10,10,1/1,10/1,1,1,10,82.526
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10,1,1/10,1/10,1,10,1,121.408
8.6.12,bench/image-from-value.bench,0,image from value,null,2,1,1,1/1,1/1,1,1,1,87.466
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,100000,100000/1,100000/1,100000,1,1,1394.507
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,100000,10000/1,100000/1,10000,1,10,1064.453
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,100000,1000/1,100000/1,1000,1,100,1068.532
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,100000,100/1,100000/1,100,1,1000,1102.708
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,100000,10/1,100000/1,10,1,10000,1107.486
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,100000,1/1,100000/1,1,1,100000,1100.702
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,10000,1000/1,1000/1,10000,10,1,481.519
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,10000,100/1,1000/1,1000,10,10,399.255
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,10000,10/1,1000/1,100,10,100,401.302
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,10000,1/10,1000/1,1,10,10000,388.652
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,10000,1/1,1000/1,10,10,1000,393.316
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,1000,10/1,10/1,1000,100,1,540.429
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,1000,1/100,10/1,1,100,1000,485.858
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,1000,1/10,10/1,10,100,100,632.007
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,1000,1/1,10/1,100,100,10,496.163
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,100,1/1000,1/10,1,1000,100,1758.757
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,100,1/100,1/10,10,1000,10,1758.477
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,100,1/10,1/10,100,1000,1,1829.234
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,10,1/10000,1/1000,1,10000,10,12143.373
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,10,1/1000,1/1000,10,10000,1,11742.918
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100000,1,1/100000,1/100000,1,100000,1,112940.988
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,10000,10000/1,10000/1,10000,1,1,283.813
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,10000,1000/1,10000/1,1000,1,10,226.537
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,10000,100/1,10000/1,100,1,100,228.269
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,10000,10/1,10000/1,10,1,1000,236.703
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,10000,1/1,10000/1,1,1,10000,225.839
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,1000,100/1,100/1,1000,10,1,220.489
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,1000,10/1,100/1,100,10,10,227.434
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,1000,1/10,100/1,1,10,1000,195.789
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,1000,1/1,100/1,10,10,100,207.61
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,100,1/100,1/1,1,100,100,399.842
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,100,1/10,1/1,10,100,10,411.989
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,100,1/1,1/1,100,100,1,424.413
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,10,1/1000,1/100,1,1000,10,1622.371
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,10,1/100,1/100,10,1000,1,1673.772
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10000,1,1/10000,1/10000,1,10000,1,12380.517
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1000,1000,1000/1,1000/1,1000,1,1,159.109
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1000,1000,100/1,1000/1,100,1,10,154.879
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1000,1000,10/1,1000/1,10,1,100,159.561
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1000,1000,1/1,1000/1,1,1,1000,157.895
